product_name,category,product_description,eco_friendly_score,image_url
Bamboo Toothbrush,personal care, A toothbrush made from biodegradable bamboo             ,                  9, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.59d9Rh228jTYrcPiGxakIQHaF7%26pid%3DApi&f=1&ipt=7e915533bc6240e85ad00ed01dd9ffb4185ef2ee6b7e555966af9e050f679d12&ipo=images
Reusable Water Bottle,home,Stainless steel bottle for reducing plastic waste       ,                  8, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.xbFDYVff--2XApo5q90qEAHaE7%26pid%3DApi&f=1&ipt=7304b8c9e6a2d38734ccace5b88612eb1440470f990e473ccc68a1c946f9439c&ipo=images
Organic Cotton Tote Bag,fashion,An eco-friendly alternative to plastic bags             ,                  9, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.npH2bSoH4ox9AiDxfZ2lNQHaHa%26pid%3DApi&f=1&ipt=7c967f67ffc394936804e27017f56db2a4529ccc51c39a46f9ac60ffc5f62aa8&ipo=images
Solar-Powered Charger,electronics,A portable solar charger for eco-friendly power         ,                 10, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.fU-CSO3uF4r_Mg1M9IwUYQHaHa%26pid%3DApi&f=1&ipt=9cd47e1d44135c20e892fb7bfab399785d02c2ea127f7a44a2e6f356bf99a109&ipo=images
Biodegradable Phone Case,accessories,A compostable phone case made from plant-based materials,                  8, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.yBxf-Lr6KewC6NEP3ME9kgHaE7%26pid%3DApi&f=1&ipt=8bdc03d6ed77c45a8220cf1e3fcc60060ab6dea464e425bc1b5ed9581d103f1e&ipo=images
Recycled Paper Notebook,stationery,Notebook made from 100% recycled paper                  ,                  7, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.OqdZ3KJXdxPL7ln_z9GLFgHaFR%26pid%3DApi&f=1&ipt=b1aa43e6ab8b7e929b97c30c3f3185714684eb380bdc26e82441b7f6af7cbc67&ipo=images
Eco-Friendly Detergent,household,Biodegradable detergent with natural ingredients        ,                  9, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.ouwS__AG0_I3vVc-Tiv4agAAAA%26pid%3DApi&f=1&ipt=2e2af899246c57ac862858e8ed7a2b4f7c25c01bc8b85ac309efb9711d9db7c2&ipo=images
Compostable Plates,kitchen,Plates made from natural fibers that decompose quickly  ,                 10, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.explicit.bing.net%2Fth%3Fid%3DOIP.1ppNLOBKLnYOHnmcrVZ9EAHaHa%26pid%3DApi&f=1&ipt=8ea690a694c6d7189274069f33418238d8a34917e5551547086bd6f398768e67&ipo=images
Organic Bamboo Cutlery,kitchen,Reusable bamboo cutlery set for reducing waste          ,                  8, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.sggxGVTkuin6_3YHJVpAhwHaHa%26pid%3DApi&f=1&ipt=f401628d8594814e8a5fe0c718da993ddbd5ff862fcb5291142d6103677147ff&ipo=images
Recycled Plastic Sunglasses,fashion,Sunglasses made from upcycled ocean plastic             ,                  9, https://images.unsplash.com/photo-1577803645773-f96470509666
Hemp Shower Curtain,home,Water-resistant curtain made from sustainable hemp      ,                  8, https://images.unsplash.com/photo-1622372738946-62e02505feb3
Cork Yoga Mat,fitness,Yoga mat made from renewable cork material              ,                  9, https://images.unsplash.com/photo-1593810450967-f9c42742e326
Beeswax Food Wraps,kitchen,Reusable alternative to plastic wrap                    ,                 10, https://images.unsplash.com/photo-1587486913049-53fc88980cfc
Plant-Based Sneakers,fashion,Shoes made from pineapple leather and recycled rubber   ,                  8, https://images.unsplash.com/photo-1600269452121-4f2416e55c28
Recycled Glass Vase,home,Decorative vase made from 100% post-consumer glass      ,                  9, https://images.unsplash.com/photo-1605000797499-95a51c5269ae
Organic Lip Balm,personal,Chemical-free lip balm in compostable packaging         ,                  7, https://images.unsplash.com/photo-1631729371254-42c2892f0e6e
Upcycled Denim Backpack,fashion,Backpack made from repurposed jeans                     ,                  8, https://images.unsplash.com/photo-1553062407-98eeb64c6a62
Bamboo Straws,kitchen,Reusable straws made from natural bamboo                ,                 10, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Q6ALHA4KozU_Jl2bncXW5QHaHa%26pid%3DApi&f=1&ipt=beb03dca7fbe3a480a2278bc0ad93c8b8e501f60616d1ed7d053b9c0ea5fe19e&ipo=images
Organic Cotton Sheets,home,Bed sheets made from pesticide-free cotton              ,                  9, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.g6pUXYHy2yDilYnDC2C5JQHaHa%26pid%3DApi&f=1&ipt=d76b39385b5f9fbbb7968c6fbd77dc4c12ec3d762585cc465f8af61b4c0ba958&ipo=images
